Rank,ID,Source,City,Postal,Street,Surface_m2,Price_EUR,Price_per_m2,Annual_Charges,Score,Rating,Risk,Value_Score,Fair_Value_Est,DPE,GES,Rooms,Bedrooms,Floor,Elevator,Parking,Terrace,Balcony,Cellar,Building_Era,Condition,Metro_Lines,Transport_Distance,Copro_Lots,Red_Flags,URL,Total_Acquisition_Cost,Notary_Fees,Monthly_Rent,Rent_Estimated,Gross_Yield,Net_Yield,Monthly_Cash_Flow,Cash_Flow_Status
1,253672365,seloger,Aubervilliers,93300,,49.0,190000,3877.55,,79.45,★★★★☆,🟢 Low Risk,41.82,215600.00000000003,D,unknown,2,1,17,True,True,False,True,True,,Good condition,4,Very close,,,https://www.seloger.com/annonces/achat/appartement/aubervilliers-93/253672365.htm,204708,14708,1031.0,True,6.51,3.74,60.0,🟢 Cash Flow Positive
2,260168449,seloger,Fontenay Sous Bois,94120,,60.0,270000,4500.0,,83.2,★★★★☆,🟢 Low Risk,30.81,379500.00000000006,A,unknown,2,2,5,True,True,False,True,True,Modern,,,Very close,,,https://www.seloger.com/annonces/achat/appartement/fontenay-sous-bois-94/260168449.htm,276452,6452,1365.0,True,6.07,3.71,6.0,🟡 Break-even
3,259552981,seloger,Chelles,77500,,53.0,180000,3396.23,,74.95,★★★☆☆,🟢 Low Risk,41.64,204050.00000000003,D,unknown,2,1,7,True,True,False,True,True,Années 20,,,,1523,,https://www.seloger.com/annonces/achat/appartement/chelles-77/259552981.htm,194022,14022,773.0,True,5.15,2.62,-128.0,🔴 Effort d'épargne
4,261598953,seloger,Saint Maur Des Fosses,94210,,52.0,260000,5000.0,,74.45,★★★☆☆,🟢 Low Risk,28.63,286000.0,D,unknown,2,1,2,True,False,False,True,True,Modern,,,,,,https://www.seloger.com/annonces/achat/appartement/saint-maur-des-fosses-94/261598953.htm,279509,19509,1092.0,True,5.04,2.86,-184.0,🔴 Effort d'épargne
5,260450565,seloger,Le Blanc Mesnil,93150,,28.0,170000,6071.43,,83.2,★★★★☆,🟢 Low Risk,48.94,123200.00000000001,B,unknown,1,,,True,True,False,True,True,,,,,,,https://www.seloger.com/annonces/achat/appartement/le-blanc-mesnil-93/260450565.htm,174683,4683,634.0,True,4.48,2.68,-185.0,🔴 Effort d'épargne
6,261595067,seloger,Romainville,93230,,28.0,180000,6428.57,,85.0,★★★★☆,🟢 Low Risk,47.22,132160.00000000003,C,unknown,1,,5,True,True,True,True,True,Recent,Good condition,5,,,,https://www.seloger.com/annonces/achat/appartement/romainville-93/261595067.htm,194022,14022,634.0,True,4.23,2.4,-227.0,🔴 Effort d'épargne
7,258362619,seloger,Louvres,95380,,44.0,190000,4318.18,,87.0,★★★★☆,🟢 Low Risk,45.79,181720.00000000003,A,unknown,2,1,3,True,True,True,True,True,,,,,,,https://www.seloger.com/annonces/achat/appartement/louvres-95/258362619.htm,195037,5037,659.0,True,4.16,2.2,-261.0,🔴 Effort d'épargne
8,258362689,seloger,Louvres,95380,,44.0,190000,4318.18,,87.0,★★★★☆,🟢 Low Risk,45.79,181720.00000000003,A,unknown,2,1,3,True,True,True,True,True,,,,,,,https://www.seloger.com/annonces/achat/appartement/louvres-95/258362689.htm,195037,5037,659.0,True,4.16,2.2,-261.0,🔴 Effort d'épargne
9,260626915,seloger,Viry Chatillon,91170,,41.0,190000,4634.15,,83.95,★★★★☆,🟢 Low Risk,44.18,157850.0,B,unknown,2,1,,True,True,False,True,True,,,,,,,https://www.seloger.com/annonces/achat/appartement/viry-chatillon-91/260626915.htm,195037,5037,622.0,True,3.93,2.08,-291.0,🔴 Effort d'épargne
10,260828387,seloger,Paris,75018,,32.02,280000,8744.53,,70.2,★★★☆☆,🟢 Low Risk,25.07,336210.00000000006,D,unknown,2,1,,True,False,False,False,True,Années 20,Fully renovated,,,,,https://www.seloger.com/annonces/achat/appartement/paris-75/260828387.htm,300881,20881,1025.0,True,4.39,2.67,-309.0,🔴 Effort d'épargne
11,260450577,seloger,Acheres,78260,,28.0,170000,6071.43,,82.95,★★★★☆,🟢 Low Risk,48.79,107800.00000000001,B,unknown,1,,,True,True,False,True,True,,,,,,,https://www.seloger.com/annonces/achat/appartement/acheres-78/260450577.htm,174683,4683,458.0,True,3.23,1.72,-339.0,🔴 Effort d'épargne
12,261503465,seloger,Montigny Les Cormeilles,95370,,51.0,230000,4509.8,,84.45,★★★★☆,🟢 Low Risk,36.72,210630.00000000003,A,unknown,2,1,3,True,True,True,False,True,,,,,,,https://www.seloger.com/annonces/achat/appartement/montigny-les-cormeilles-95/261503465.htm,235744,5744,748.0,True,3.9,2.04,-358.0,🔴 Effort d'épargne
13,228320545,seloger,Clamart,92140,,25.0,220000,8800.0,,79.5,★★★★☆,🟢 Low Risk,36.14,178750.0,A,unknown,1,,,False,True,False,False,False,,,,,,,https://www.seloger.com/annonces/achat/appartement/clamart-92/228320545.htm,225568,5568,650.0,True,3.55,2.14,-378.0,🔴 Effort d'épargne
14,254877013,seloger,Aubervilliers,93300,,42.12,240000,5698.01,,84.75,★★★★☆,🟢 Low Risk,35.31,176904.0,A,unknown,2,1,,False,False,False,False,False,,,"7,12",,,,https://www.seloger.com/annonces/achat/appartement/aubervilliers-93/254877013.htm,245921,5921,758.0,True,3.79,2.12,-383.0,🔴 Effort d'épargne
15,259097885,seloger,Poissy,78300,,44.15,220000,4983.01,,79.25,★★★★☆,🟢 Low Risk,36.02,169977.5,D,unknown,2,1,7,True,True,False,True,True,Années 20,Fully renovated,,,294,,https://www.seloger.com/annonces/achat/appartement/poissy-78/259097885.htm,236766,16766,661.0,True,3.61,1.8,-386.0,🔴 Effort d'épargne
16,244888781,seloger,Acheres,78260,,45.0,230000,5111.11,,85.75,★★★★☆,🟢 Low Risk,37.28,185850.00000000003,A,unknown,2,1,3,True,True,True,True,False,,,,,,,https://www.seloger.com/annonces/achat/appartement/acheres-78/244888781.htm,235744,5744,672.0,True,3.51,1.83,-419.0,🔴 Effort d'épargne
17,257544031,seloger,Romainville,93230,,37.0,240000,6486.49,,73.25,★★★☆☆,🟢 Low Risk,30.52,159840.0,D,unknown,2,1,,True,False,True,True,False,,Good condition,,,,,https://www.seloger.com/annonces/achat/appartement/romainville-93/257544031.htm,258137,18137,699.0,True,3.5,1.87,-430.0,🔴 Effort d'épargne
18,227342435,seloger,Asnieres Sur Seine,92600,,24.4,240000,9836.07,,83.5,★★★★☆,🟢 Low Risk,34.79,174460.0,A,unknown,1,,,True,True,False,True,False,New,,,,,,https://www.seloger.com/annonces/achat/appartement/asnieres-sur-seine-92/227342435.htm,245921,5921,669.0,True,3.35,2.03,-445.0,🔴 Effort d'épargne
19,260450585,seloger,Saint Ouen,93400,,30.0,240000,8000.0,,84.2,★★★★☆,🟢 Low Risk,35.08,132000.0,B,unknown,1,,,True,True,False,True,True,,,M,,,,https://www.seloger.com/annonces/achat/appartement/saint-ouen-93/260450585.htm,245921,5921,672.0,True,3.36,1.96,-448.0,🔴 Effort d'épargne
20,261352977,seloger,Paris,75013,,26.3,280000,10646.39,,74.2,★★★☆☆,🟢 Low Risk,26.5,289957.5,D,unknown,1,,5,True,False,False,False,True,,Good condition,,,,,https://www.seloger.com/annonces/achat/appartement/paris-75/261352977.htm,300881,20881,842.0,True,3.61,2.16,-464.0,🔴 Effort d'épargne
21,261563341,seloger,Levallois Perret,92300,,28.0,260000,9285.71,,71.45,★★★☆☆,🟢 Low Risk,27.48,182000.0,D,unknown,1,,5,False,False,False,True,True,New,Fully renovated,,,,,https://www.seloger.com/annonces/achat/appartement/levallois-perret-92/261563341.htm,266275,6275,647.0,True,2.99,1.73,-552.0,🔴 Effort d'épargne
22,259009535,seloger,Saint Germain En Laye,78100,,31.0,300000,9677.42,,73.45,★★★☆☆,🟢 Low Risk,24.48,113925.0,D,unknown,1,,3,True,True,False,True,True,,,,,,,https://www.seloger.com/annonces/achat/appartement/saint-germain-en-laye-78/259009535.htm,322253,22253,496.0,True,1.98,0.93,-855.0,🔴 Effort d'épargne
